id,name ,sex,religion,survival,type of death,place of death
af,Anne Frank,2,1,1,2,KZ Bergen-Belsen
of,Otto Frank,1,1,2,4,Birsfelden
ef,Edith Frank,2,1,1,3,KZ Auschwitz-Birkenau
mf,Margot Frank,2,1,1,2,KZ Bergen-Belsen
hvp,Hermann van Pels,1,1,1,1,KZ Auschwitz-Birkenau
avp,Auguste van Pels,2,1,1,2,Transport nach Theresienstadt
pvp,Peter van Pels,1,1,1,2,KZ Mauthausen
fp,Fritz Pfeffer,1,1,1,2,KZ Neuengamme
